team,league,ppda,deep_avg,possession_pct,progressive_passes,pressing_high,pressing_medium,ground_truth,current_profile
AC Milan,Serie A,18.3,8.14,50.9,536.0,0,1,GEGENPRESS,BALANCED
Alaves,La Liga,9.89,3.47,49.2,468.0,1,0,,BALANCED
Angers,Ligue 1,20.52,3.27,41.0,398.0,0,1,,LOW_BLOCK
Arsenal,Premier League,10.4,9.0,58.4,653.0,1,0,POSSESSION,POSSESSION
Aston Villa,Premier League,12.47,7.53,52.4,540.0,0,1,TRANSITION,TRANSITION
Atalanta,Serie A,12.38,9.29,56.7,653.0,1,0,GEGENPRESS,WIDE_ATTACK
Athletic Club,La Liga,11.1,6.38,48.1,664.0,1,0,TRANSITION,BALANCED
Atletico Madrid,La Liga,12.16,9.75,54.2,712.0,1,0,BALANCED,ADAPTIVE
Augsburg,Bundesliga,12.92,4.31,45.0,444.0,1,0,,TRANSITION
Auxerre,Ligue 1,14.98,4.0,44.1,452.0,1,0,,TRANSITION
Barcelona,La Liga,7.85,12.31,66.1,812.0,1,0,POSSESSION,POSSESSION
Bayer Leverkusen,Bundesliga,14.62,7.54,59.3,504.0,1,0,GEGENPRESS,POSSESSION
Bayern Munich,Bundesliga,10.03,13.08,65.8,755.0,1,0,POSSESSION,POSSESSION
Real Betis,La Liga,12.89,7.87,50.4,616.0,1,0,POSSESSION,BALANCED
Bologna,Serie A,8.4,5.0,56.7,524.0,1,0,,WIDE_ATTACK
Borussia Dortmund,Bundesliga,12.23,10.08,52.8,646.0,1,0,GEGENPRESS,BALANCED
Borussia Monchengladbach,Bundesliga,,,45.5,454.0,0,1,,MID_BLOCK
Bournemouth,Premier League,8.84,7.33,52.3,588.0,1,0,GEGENPRESS,BALANCED
Brentford,Premier League,13.6,5.47,43.4,388.0,1,0,BALANCED,MID_BLOCK
Brest,Ligue 1,12.17,4.73,44.4,429.0,1,0,,MID_BLOCK
Brighton,Premier League,9.5,6.13,51.5,547.0,1,0,GEGENPRESS,GEGENPRESS
Burnley,Premier League,14.59,3.8,40.6,358.0,1,0,,ADAPTIVE
Cagliari,Serie A,14.1,3.36,44.5,361.0,0,1,,MID_BLOCK
Celta Vigo,La Liga,14.53,7.53,51.0,640.0,1,0,,BALANCED
Chelsea,Premier League,9.41,7.4,58.5,613.0,1,0,GEGENPRESS,GEGENPRESS
Como,Serie A,7.64,5.0,60.3,538.0,1,0,,POSSESSION
Cremonese,Serie A,14.64,2.86,45.9,376.0,1,0,,TRANSITION
Crystal Palace,Premier League,16.94,6.53,42.5,465.0,1,0,LOW_BLOCK,LOW_BLOCK
Eintracht Frankfurt,Bundesliga,12.22,7.77,55.0,572.0,1,0,,ADAPTIVE
Elche,La Liga,9.35,5.07,58.6,570.0,1,0,,POSSESSION
Espanyol,La Liga,13.38,5.33,41.5,499.0,1,0,,ADAPTIVE
Everton,Premier League,15.32,6.87,44.3,502.0,1,0,LOW_BLOCK,LOW_BLOCK
FC Cologne,Bundesliga,17.62,5.62,48.1,420.0,0,1,,BALANCED
Heidenheim,Bundesliga,,,41.5,381.0,0,1,,LOW_BLOCK
Fiorentina,Serie A,11.15,3.64,50.6,405.0,0,1,,BALANCED
Freiburg,Bundesliga,13.74,5.92,51.2,430.0,0,0,TRANSITION,BALANCED
Fulham,Premier League,13.24,7.07,51.2,557.0,1,0,TRANSITION,TRANSITION
Genoa,Serie A,9.78,3.5,48.6,413.0,0,1,,BALANCED
Getafe,La Liga,10.21,2.6,40.7,366.0,1,0,LOW_BLOCK,ADAPTIVE
Girona,La Liga,18.15,4.6,46.9,519.0,0,1,,BALANCED
Hamburger SV,Bundesliga,15.62,5.23,47.5,432.0,0,0,,BALANCED
Hellas Verona,Serie A,,,39.9,394.0,0,1,,LOW_BLOCK
Hoffenheim,Bundesliga,8.67,7.0,53.2,522.0,1,0,,BALANCED
Inter Milan,Serie A,,,59.1,702.0,1,0,,ADAPTIVE
Juventus,Serie A,10.55,6.86,57.8,615.0,1,0,BALANCED,WIDE_ATTACK
Lazio,Serie A,14.86,4.21,50.4,447.0,0,1,TRANSITION,BALANCED
Le Havre,Ligue 1,12.21,3.8,46.0,525.0,1,0,,BALANCED
Lecce,Serie A,12.5,3.43,45.3,430.0,1,0,LOW_BLOCK,TRANSITION
Leeds United,Premier League,,,46.1,448.0,1,0,,BALANCED
Lens,Ligue 1,12.96,7.73,48.4,588.0,1,0,GEGENPRESS,BALANCED
Levante,La Liga,14.53,5.13,41.8,390.0,1,0,,ADAPTIVE
Lille,Ligue 1,10.16,10.73,56.0,739.0,1,0,GEGENPRESS,WIDE_ATTACK
Liverpool,Premier League,9.04,8.73,61.1,786.0,1,0,GEGENPRESS,GEGENPRESS
Lorient,Ligue 1,22.17,5.33,43.9,504.0,0,1,,MID_BLOCK
Lyon,Ligue 1,10.33,6.13,55.4,560.0,1,0,BALANCED,WIDE_ATTACK
Mainz 05,Bundesliga,10.54,8.0,48.0,503.0,1,0,,BALANCED
Mallorca,La Liga,14.61,3.47,44.9,469.0,0,1,,MID_BLOCK
Manchester City,Premier League,13.69,9.4,57.1,612.0,1,0,POSSESSION,POSSESSION
Manchester United,Premier League,10.42,6.8,53.9,623.0,1,0,BALANCED,BALANCED
Marseille,Ligue 1,11.04,7.47,59.7,707.0,1,0,BALANCED,POSSESSION
Metz,Ligue 1,22.13,3.2,49.1,395.0,1,0,,BALANCED
Monaco,Ligue 1,8.31,8.4,54.4,662.0,1,0,,WIDE_ATTACK
Nantes,Ligue 1,17.88,3.47,42.7,377.0,0,1,,MID_BLOCK
Napoli,Serie A,11.77,5.64,56.1,580.0,1,0,POSSESSION,WIDE_ATTACK
Newcastle United,Premier League,11.18,6.93,51.3,686.0,0,1,TRANSITION,TRANSITION
Nice,Ligue 1,19.34,5.6,47.3,508.0,1,0,,BALANCED
Nottingham Forest,Premier League,12.42,5.73,50.9,635.0,1,0,BALANCED,BALANCED
Osasuna,La Liga,14.46,4.73,46.3,449.0,0,1,,BALANCED
Real Oviedo,La Liga,16.86,4.53,44.8,436.0,0,0,,LOW_BLOCK
Paris FC,Ligue 1,14.75,5.8,54.4,587.0,1,0,,ADAPTIVE
Paris Saint-Germain,Ligue 1,,,70.0,880.0,1,0,,POSSESSION
Parma,Serie A,,,42.2,317.0,0,1,,MID_BLOCK
Pisa,Serie A,14.21,4.07,40.2,390.0,0,1,,LOW_BLOCK
RB Leipzig,Bundesliga,,,49.6,472.0,0,1,GEGENPRESS,BALANCED
Rayo Vallecano,La Liga,9.4,4.87,53.9,553.0,1,0,,BALANCED
Real Madrid,La Liga,10.06,10.19,59.4,892.0,1,0,POSSESSION,POSSESSION
Real Sociedad,La Liga,9.87,6.13,51.9,591.0,1,0,,BALANCED
Rennes,Ligue 1,15.35,4.27,49.7,576.0,1,0,,BALANCED
AS Roma,Serie A,,,57.9,594.0,1,0,,WIDE_ATTACK
Sassuolo,Serie A,16.5,5.36,45.8,421.0,1,0,,MID_BLOCK
Sevilla,La Liga,8.28,4.87,54.0,489.0,1,0,BALANCED,BALANCED
St. Pauli,Bundesliga,18.51,5.77,48.5,507.0,1,0,,BALANCED
Strasbourg,Ligue 1,13.14,6.8,52.0,600.0,1,0,,BALANCED
VfB Stuttgart,Bundesliga,11.09,7.54,58.0,579.0,0,1,,WIDE_ATTACK
Sunderland,Premier League,16.58,4.2,42.1,429.0,1,0,,TRANSITION
Torino,Serie A,17.73,4.57,43.1,437.0,1,0,,TRANSITION
Tottenham,Premier League,10.32,5.33,53.1,528.0,1,0,GEGENPRESS,GEGENPRESS
Toulouse,Ligue 1,15.24,5.6,41.6,510.0,1,0,,ADAPTIVE
Udinese,Serie A,10.75,5.36,48.1,414.0,0,1,,BALANCED
Union Berlin,Bundesliga,18.01,4.62,36.6,336.0,0,1,,LOW_BLOCK
Valencia,La Liga,14.79,3.87,47.2,527.0,1,0,,BALANCED
Villarreal,La Liga,15.86,8.87,47.2,591.0,1,0,TRANSITION,BALANCED
Werder Bremen,Bundesliga,16.99,6.54,49.2,501.0,0,1,,BALANCED
West Ham,Premier League,16.7,4.6,42.7,434.0,0,1,LOW_BLOCK,LOW_BLOCK
Wolfsburg,Bundesliga,14.23,4.54,45.2,371.0,0,1,,MID_BLOCK
Wolverhampton,Premier League,,,46.8,432.0,1,0,,BALANCED
